DB_ID,PLACE_ID,DIRECTION,EVENT_TIME,WIDTH,HEIGHT,PROJECTION_DISTANCE,SPEED,FILE_NAME
902907,1,0,"2016-08-27 00:06:47",50,20,94,0,"206792"
902908,1,0,"2016-08-27 00:10:14",33,7,49,0,"208639"
902909,1,0,"2016-08-27 00:12:34",50,21,105,0,"209910"
902910,1,0,"2016-08-27 00:24:27",52,21,88,0,"214976"
902911,1,0,"2016-08-27 00:25:58",54,25,88,0,"215275"
902912,1,0,"2016-08-27 00:26:14",46,10,109,0,"215340"
902913,1,1,"2016-08-27 00:31:01",57,25,190,0,"218057"
902914,1,1,"2016-08-27 00:39:27",53,26,200,0,"222166"
902915,1,0,"2016-08-27 00:42:13",45,22,103,0,"223094"
902916,1,0,"2016-08-27 00:47:14",44,20,97,0,"225018"
902917,1,1,"2016-08-27 00:50:15",52,25,194,0,"225848"
902918,1,1,"2016-08-27 00:54:31",52,26,192,0,"227612"
902919,1,1,"2016-08-27 00:54:32",55,26,194,0,"227618"
902920,1,0,"2016-08-27 00:57:54",50,24,90,0,"228801"
902921,1,0,"2016-08-27 01:20:39",55,25,97,0,"235068"
902922,1,0,"2016-08-27 01:21:03",50,19,94,0,"235146"
902923,1,0,"2016-08-27 01:29:00",49,27,85,0,"237575"
902924,1,0,"2016-08-27 01:31:26",43,21,95,0,"238078"
902925,1,0,"2016-08-27 01:32:30",55,21,98,0,"238501"
902926,1,0,"2016-08-27 01:33:14",38,9,106,0,"238765"
902927,1,0,"2016-08-27 01:35:26",42,21,98,0,"239419"
902928,1,1,"2016-08-27 01:41:32",55,25,185,0,"240904"
902929,1,1,"2016-08-27 01:41:48",33,18,192,0,"240977"
902930,1,1,"2016-08-27 01:42:19",44,20,176,0,"241048"
902931,1,1,"2016-08-27 01:43:06",58,26,184,0,"241258"
902932,1,0,"2016-08-27 01:51:02",51,25,95,0,"243316"
902933,1,1,"2016-08-27 02:00:57",55,25,190,0,"245685"
902934,1,0,"2016-08-27 02:04:57",47,25,91,0,"246589"
902935,1,0,"2016-08-27 02:05:07",48,17,88,0,"246605"
902936,1,0,"2016-08-27 02:24:05",57,24,92,0,"250592"
902937,1,0,"2016-08-27 02:24:06",50,25,100,0,"250604"
902938,1,0,"2016-08-27 02:24:07",53,23,106,0,"250611"
902939,1,1,"2016-08-27 02:30:12",48,23,186,0,"251775"
902940,1,1,"2016-08-27 02:30:25",64,19,178,0,"251801"
902941,1,0,"2016-08-27 02:34:01",51,24,103,0,"252355"
902942,1,0,"2016-08-27 02:50:40",51,20,108,0,"255361"
902943,1,0,"2016-08-27 02:50:42",51,19,75,0,"255365"
902944,1,0,"2016-08-27 02:50:43",54,21,57,0,"255367"
902945,1,0,"2016-08-27 03:14:37",53,16,102,0,"259247"
902946,1,1,"2016-08-27 03:29:31",58,28,181,0,"262329"
902947,1,0,"2016-08-27 04:09:17",35,21,90,0,"267649"
